Ticker,Name,Close,MA5,MA20,MA60,RSI,오늘등락(%),MA20乂(%),Comment,평균거래대금(20일)
316140.KS,WooriFinancialGroup,25700.0,26010.0,25710.0,25504.166666666668,49.211537317008634,-3.383458646616544,-0.0388953714507978,MA5 이탈 / MA20 근접 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,54360203227.5
036460.KS,Kogas,41500.0,41810.0,41442.5,40328.333333333336,52.27070151408553,-1.6587677725118488,0.13874645593292545,MA5 이탈 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,12674480382.5
336260.KS,Doosanfc,36350.0,40440.0,36297.5,30616.666666666668,51.487178751558936,-3.32446808510638,0.14463806047249061,MA5 이탈 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,123741464682.5
035420.KS,NAVER,260000.0,268800.0,259425.0,241687.5,51.67557176880405,-1.5151515151515138,0.2216440204297898,MA5 이탈 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,471041439050.0
028260.KS,SAMSUNG C&T,214000.0,218800.0,213290.0,189226.66666666666,54.15323264456239,-1.382488479262678,0.332880116273615,MA5 이탈 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,83772689175.0
006260.KS,LS,202000.0,213100.0,202910.0,182291.66666666666,51.48595203099372,-7.126436781609192,-0.44847469321374067,MA5 이탈 / MA20 근접 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,60674755050.0
014680.KS,Hanchem,215500.0,224000.0,216550.0,194966.66666666666,51.604486095171715,-3.146067415730336,-0.48487647194643824,MA5 이탈 / MA20 근접 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,17531045550.0
009150.KS,SamsungElecMech,222500.0,233200.0,221160.0,191851.66666666666,53.9072936798713,-4.094827586206895,0.6058961837583698,MA5 이탈 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,131897712315.0
062040.KS,SANIL ELECTRIC,143500.0,158620.0,142465.0,123081.66666666667,52.45329744020656,-4.7144754316069015,0.7264942266521635,MA5 이탈 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,162902044205.0
001720.KS,ShinyoungSecu,141500.0,145260.0,139900.0,138098.33333333334,50.82003665535531,-3.74149659863946,1.1436740528949274,MA5 이탈 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,4164421180.0
068270.KS,Celltrion,172900.0,174680.0,175040.0,173458.33333333334,45.96477951836976,-1.030337721808816,-1.2225776965265056,MA5 이탈 / MA20 근접 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,107031904275.0
042660.KS,Hanwha Ocean,126800.0,130320.0,125205.0,115817.5,52.667467363416016,3.0894308943089532,1.2739107863104504,MA5 이탈 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,479264515440.0
352820.KS,HYBE,305500.0,328100.0,301325.0,289700.0,51.49170675087526,-4.381846635367759,1.3855471666804897,MA5 이탈 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,106338897500.0
453850.KS,ACE U.S. Long Term T-Bond Activ,7875.0,7890.0,7990.75,7834.25,44.83632062876861,0.51052967453733,-1.4485498858054613,MA5 이탈 / MA20 근접 / RSI 40~55 구간 / 중기 추세 유지,24031906360.0
005490.KS,POSCO Holdings,299000.0,306700.0,303575.0,292975.0,48.224900018204934,-1.967213114754096,-1.5070410936341871,MA5 이탈 / MA20 근접 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,135397687200.0
018260.KS,SAMSUNG SDS,168800.0,178000.0,171415.0,161606.66666666666,48.548361203491424,-2.4277456647398887,-1.525537438380542,MA5 이탈 / MA20 근접 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,51298142165.0
005940.KS,NHIS,19930.0,20406.0,20272.5,19881.0,47.15620508241956,-3.2524271844660224,-1.6894808237760461,MA5 이탈 / MA20 근접 / RSI 40~55 구간 / 중기 추세 유지,19550605587.5
005930.KS,SamsungElec,97900.0,102740.0,99615.0,83485.83333333333,53.123361472444095,-1.310483870967738,-1.7216282688350182,MA5 이탈 / MA20 근접 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,2680064402445.0
004990.KS,LOTTE,29800.0,29430.0,29287.5,29171.666666666668,52.156987864790246,-2.931596091205213,1.7498932991890648,최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,7125898467.5
000100.KS,Yuhan,115300.0,116960.0,117410.0,116975.0,45.15227513589835,0.6986899563318882,-1.7971211992164227,MA5 이탈 / MA20 근접 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,48166952990.0
039490.KS,KIWOOM,281500.0,289900.0,276400.0,244356.66666666666,54.054747551333264,-3.264604810996563,1.845151953690305,MA5 이탈 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,47460257200.0
011780.KS,KumhoPetrochem,111700.0,114160.0,113875.0,110197.5,47.17934195001281,-3.457216940363006,-1.9099890230515948,MA5 이탈 / MA20 근접 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,10573722810.0
004370.KS,Nongshim,424000.0,432100.0,432600.0,427225.0,43.7533923266595,-1.0501750291715295,-1.987979657882566,MA5 이탈 / MA20 근접 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,14753990275.0
010140.KS,SamsungHvyInd,26300.0,27510.0,25770.0,22451.833333333332,54.877989568329454,0.5736137667303964,2.0566550252231197,MA5 이탈 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,239470170677.5
022100.KS,POSCO DX,25400.0,27790.0,25982.5,23810.833333333332,49.03779445278572,-3.7878787878787845,-2.2418935822188013,MA5 이탈 / MA20 근접 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,38954823990.0
111770.KS,Youngone Corp,58600.0,58160.0,59950.0,59855.0,45.14686604351641,-1.180438448566612,-2.251876563803168,MA20 근접 / 최근 음봉 다수 / RSI 40~55 구간 / 중기 추세 유지,3078093575.0
