날짜,시가,고가,저가,종가,거래량,전일비,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,TR,ATR,골든크로스,데드크로스,MACD_골든크로스
2025-03-14 13:00:00,22.1299991607666,25.239999771118164,22.059999465942383,25.0,37795900,3.6299991607666016,21.03200035095215,26.284499835968017,35.92700010935466,43.433058498673475,-4.141922855559315,-4.273260164162162,0.13133730860284665,19661885.0,1.9222928015294567,True,3.8699989318847656,2.6167857306344167,False,False,True
2025-03-17 13:00:00,24.979999542236328,25.5,24.030000686645508,24.93000030517578,30552900,-0.06999969482421875,22.36400032043457,25.657999897003172,35.6456667582194,43.290264266546075,-3.7141244308191226,-4.161433017493554,0.4473085866744313,20780620.0,1.470259308913786,False,1.4699993133544922,2.4989286150251115,False,False,False
2025-03-18 13:00:00,23.649999618530273,24.458999633789062,22.635000228881836,22.68000030517578,20876300,-2.25,23.160000228881835,25.094999980926513,35.293000094095866,38.86700511391655,-3.516115699973458,-4.032369553989535,0.5162538540160773,20818630.0,1.0027701150363881,False,2.2950000762939453,2.554142815726144,False,False,False
2025-03-19 13:00:00,23.59000015258789,24.118999481201172,22.18000030517578,23.299999237060547,16600500,0.6199989318847656,23.456000137329102,24.55299997329712,35.05633341471354,40.666076200518674,-3.271452355599596,-3.8801861143115475,0.6087337587119515,20622095.0,0.8049861083464119,False,1.9389991760253906,2.292642729622977,False,False,False
2025-03-20 13:00:00,23.325000762939453,24.5,20.610000610351562,21.139999389648438,29478500,-2.1599998474121094,23.40999984741211,23.92249994277954,34.779333432515465,36.62247928796839,-3.2147907219879954,-3.7471070358468372,0.5323163138588418,21443085.0,1.3747322271958535,False,3.8899993896484375,2.3840712138584683,False,False,False
2025-03-21 13:00:00,20.959999084472656,22.719999313354492,20.860000610351562,22.260000228881836,21965900,1.1200008392333984,22.861999893188475,23.448499965667725,34.4100001335144,39.95637347706685,-3.044417116205441,-3.6065690519185583,0.5621519357131173,21751940.0,1.0098363640208643,False,1.8599987030029297,2.3076425279889787,False,False,False
2025-03-24 13:00:00,23.229999542236328,26.31999969482422,23.079999923706055,26.1200008392334,34724200,3.8600006103515625,23.1,23.192500019073485,34.15666681925456,49.764404477677736,-2.568319033171626,-3.398919048169172,0.8306000149975459,22865560.0,1.5186245165217909,True,4.059999465942383,2.4293568474905833,False,False,False
2025-03-25 13:00:00,25.770000457763672,26.190000534057617,25.040000915527344,25.549999237060547,17186900,-0.5700016021728516,23.673999786376953,22.983500003814697,33.83950010935465,48.50440749477806,-2.2115093348635213,-3.161437105508042,0.9499277706445208,23060985.0,0.7452803945711772,False,1.1499996185302734,2.4014996119907925,False,False,False
2025-03-26 13:00:00,26.729999542236328,27.829999923706055,24.65999984741211,24.799999237060547,29897400,-0.75,23.973999786376954,22.726999950408935,33.44883340199788,46.82446883749097,-1.9665842511763891,-2.922466534641712,0.9558822834653227,23861675.0,1.2529464088334117,False,3.1700000762939453,2.462928227015904,False,False,False
2025-03-27 13:00:00,24.09000015258789,25.200000762939453,23.44499969482422,23.649999618530273,14119000,-1.1499996185302734,24.47599983215332,22.663999938964842,33.085000069936115,44.29136826463373,-1.844018024111378,-2.706776832535645,0.862758808424267,22830985.0,0.6184139668087032,False,1.7550010681152344,2.4900711604527066,False,False,False
2025-03-28 13:00:00,23.65999984741211,23.65999984741211,21.920000076293945,22.850000381469727,15453500,-0.7999992370605469,24.5939998626709,22.577999973297118,32.72766672770182,42.566239877528034,-1.790793505873122,-2.5235801672031406,0.7327866613300187,22503855.0,0.6867045668397703,False,1.739999771118164,2.4275711604527066,False,False,False
2025-03-31 13:00:00,21.670000076293945,23.097999572753906,21.5,22.06999969482422,15046800,-0.7800006866455078,23.783999633789062,22.52599992752075,32.39933338165283,40.89380231365373,-1.7909077585428115,-2.377045685471075,0.5861379269282634,22343510.0,0.6734304502739275,False,1.5979995727539062,2.449071066720145,False,False,False
2025-04-01 13:00:00,24.309999465942383,24.6200008392334,22.219999313354492,23.190000534057617,22958100,1.1200008392333984,23.311999893188478,22.567999935150148,32.067500082651776,44.279202365137365,-1.6812432712250285,-2.237885202621866,0.5566419313968374,22437675.0,1.023194248067146,False,2.5500011444091797,2.3819283076695035,False,False,False
2025-04-02 13:00:00,23.079999923706055,25.834999084472656,22.690000534057617,25.049999237060547,25696300,1.8599987030029297,23.361999893188475,22.688999938964844,31.688833395640057,49.45669606154814,-1.427788368713994,-2.0758658358402915,0.6480774671262974,22919100.0,1.1211740426107482,False,3.144998550415039,2.463713918413435,False,False,False
2025-04-03 13:00:00,23.125,23.77899932861328,22.530000686645508,23.25,19912800,-1.7999992370605469,23.28199996948242,22.82749996185303,31.225166734059652,45.09023936056953,-1.3565311806009035,-1.931998904792414,0.5754677241915105,23082775.0,0.8626692414581869,False,2.519998550415039,2.3672853197370256,False,False,False
2025-04-04 13:00:00,22.600000381469727,22.8700008392334,19.3700008392334,20.68000030517578,26829500,-2.5699996948242188,22.84799995422363,22.834000015258788,30.74333340326945,39.70074361603054,-1.4902580751922834,-1.843650738872388,0.3533926636801046,23614790.0,1.1361312126849317,False,3.8799991607666016,2.539428165980748,False,False,False
2025-04-07 13:00:00,19.610000610351562,24.0,18.809999465942383,22.75,29250700,2.0699996948242188,22.98400001525879,23.057999992370604,30.61833340326945,45.36518352786613,-1.4129186799124618,-1.7575043270804027,0.34458564716794093,24292985.0,1.2040801078994614,False,5.190000534057617,2.746213912963867,False,True,False
2025-04-08 13:00:00,24.049999237060547,24.599000930786133,20.649999618530273,21.280000686645508,26233100,-1.4699993133544922,22.602000045776368,23.186999988555907,30.434166717529298,42.324518509255824,-1.4534884017139547,-1.6967011420071132,0.24321274029315854,24712830.0,1.0615174385127077,False,3.9490013122558594,2.889785494123186,False,False,False
2025-04-09 13:00:00,21.875,26.559999465942383,21.361000061035156,26.3700008392334,31936100,5.090000152587891,22.866000366210937,23.414500045776368,30.409333388010662,53.857304081801686,-1.0626699276857359,-1.5698948991428379,0.507224971457102,24946880.0,1.2801640926640927,False,5.279998779296875,2.9890711648123607,False,False,False
2025-04-10 13:00:00,25.329999923706055,26.614999771118164,24.450000762939453,25.889999389648438,18742100,-0.48000144958496094,23.394000244140624,23.640499973297118,30.349000040690104,52.78537504100587,-0.7826536328705664,-1.4124466458883838,0.6297930130178173,24262825.0,0.7724615744456798,False,2.164999008178711,3.010856900896345,False,False,False
2025-04-11 13:00:00,26.239999771118164,27.25,25.371000289916992,26.09000015258789,15810600,0.20000076293945312,24.476000213623045,23.694999980926514,30.127333386739096,53.20331157315743,-0.5383940403692584,-1.2376361247845589,0.6992420844153004,23163560.0,0.6825634746990532,False,1.8789997100830078,2.8550712040492465,False,False,False
2025-04-14 13:00:00,27.700000762939453,28.25,24.75,25.350000381469727,19201300,-0.7399997711181641,24.996000289916992,23.71599998474121,29.857333405812582,51.39070729015284,-0.3999183409161873,-1.0700925680108846,0.6701742270946973,22595980.0,0.8497661973501481,False,3.5,3.022928374154227,False,False,False
2025-04-15 13:00:00,25.59000015258789,26.075000762939453,24.665000915527344,25.399999618530273,9735200,0.049999237060546875,25.820000076293944,23.851999950408935,29.632500076293944,51.510912923106446,-0.2828799666969424,-0.9126500477480962,0.6297700810511538,22038925.0,0.4417275343511537,False,1.4099998474121094,2.8972140720912387,False,False,False
2025-04-16 13:00:00,24.450000762939453,25.360000610351562,23.801000595092773,24.56999969482422,9711300,-0.8299999237060547,25.45999984741211,23.91549997329712,29.286833381652833,49.33010740647069,-0.25417035155930634,-0.7809541085103383,0.526783756951032,21694465.0,0.44763952464372825,False,1.5989990234375,2.8860710688999722,False,False,False
2025-04-17 13:00:00,24.93000030517578,25.8700008392334,24.479999542236328,25.739999771118164,10178700,1.1700000762939453,25.429999923706056,24.145499992370606,29.01516669591268,52.390014632183345,-0.1354471957036978,-0.6518527259490102,0.5164055302453124,20729475.0,0.4910254601238092,False,1.3900012969970703,2.8610711778913225,False,False,False
2025-04-21 13:00:00,25.155000686645508,25.200000762939453,23.485000610351562,24.030000686645508,11771300,-1.7099990844726562,25.018000030517577,24.23400001525879,28.72650006612142,47.842569735706,-0.1772971037439497,-0.5569416015079981,0.3796444977640484,20219745.0,0.5821685683968814,False,2.2549991607666016,2.907999719892229,False,False,False
