날짜,시가,고가,저가,종가,거래량,전일비,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2024-12-04 00:00:00-05:00,156.38774380805603,156.39740220487283,152.55125164469843,152.99578857421875,7862700,-3.47894287109375,155.87362976074218,154.01214752197265,145.8163963317871,52.44901657760782,2.574812938663655,2.9690620942175894,-0.39424915555393447,7530310.0,1.0441402810774059,False,False,False,False
2024-12-05 00:00:00-05:00,153.93315393816675,155.26674997693243,153.35334047244027,153.97181701660156,6358400,0.9760284423828125,155.33633117675782,154.16689376831056,146.18429819742838,55.1722645377588,2.3052119043103687,2.8362920562361453,-0.5310801519257766,7242285.0,0.8779549548243406,False,False,False,False
2024-12-06 00:00:00-05:00,153.41131858775805,153.48862999809842,149.95171038965606,150.0193634033203,9701700,-3.95245361328125,154.0433319091797,154.1694564819336,146.4651206970215,44.14641387955515,1.7524203566286758,2.6195177163146517,-0.8670973596859759,7320210.0,1.3253308306728906,False,False,True,False
2024-12-09 00:00:00-05:00,151.72018919033124,154.6966125057082,151.54624955451973,151.79750061035156,9404500,1.77813720703125,153.05184020996094,154.2532745361328,146.75325826009114,49.07689545112457,1.4411966664802378,2.383853506347769,-0.942656839867531,7488360.0,1.2558824629157785,False,False,False,False
2024-12-10 00:00:00-05:00,153.71088994552449,154.15542686527007,151.4302549671699,151.7201690673828,9126200,-0.07733154296875,152.100927734375,154.3537925720215,147.01651051839193,48.87482649615679,1.1747676503552498,2.1420363351492653,-0.9672686847940155,7556085.0,1.2077947773218538,False,False,False,False
2024-12-11 00:00:00-05:00,151.58487625575546,151.88444874954723,150.56052589157326,150.9567413330078,13764700,-0.763427734375,151.6931182861328,154.47401428222656,147.24599329630533,46.82509433447488,0.8917390845481634,1.891976885029045,-1.0002378004808816,7960225.0,1.7291847906309181,True,False,False,False
2024-12-12 00:00:00-05:00,150.62818083875456,151.26598897428255,149.08199672475217,149.5072021484375,7621500,-1.4495391845703125,150.8001953125,154.35769958496093,147.44254837036132,43.12676580858853,0.5441980329723322,1.6224211146177026,-1.0782230816453704,7900100.0,0.9647346236123593,False,False,False,False
2024-12-13 00:00:00-05:00,149.66180513825245,149.74878969605697,147.92234991247628,148.6954345703125,5816200,-0.811767578125,150.53540954589843,154.05347747802733,147.60915196736653,41.165887103529414,0.2009499603149436,1.338126883757151,-1.1371769234422073,7685350.0,0.756790517022647,False,False,False,False
2024-12-16 00:00:00-05:00,148.71477003541168,148.71477003541168,144.23081107165308,144.3371124267578,11961200,-4.3583221435546875,149.0433319091797,153.54951553344728,147.69211603800457,32.59654127214888,-0.4179390420827076,0.9869136985891793,-1.404852740671887,7832270.0,1.527169007197147,True,False,False,False
2024-12-17 00:00:00-05:00,143.0228490346248,143.6509840273972,141.96950861785166,143.129150390625,11909300,-1.2079620361328125,147.32512817382812,152.93828659057618,147.7252924601237,30.68967134382514,-0.994422393942358,0.5906464800828719,-1.58506887402523,8123965.0,1.4659467390615297,False,False,False,False
2024-12-18 00:00:00-05:00,142.79090131758716,143.67030202106304,139.13802196768836,139.2346649169922,10174500,-3.8944854736328125,144.980712890625,152.18838272094726,147.6949956258138,25.508618974915166,-1.7454218966413748,0.12343280473802258,-1.8688547013793975,8399820.0,1.211275955913341,False,False,False,False
2024-12-19 00:00:00-05:00,139.7081985237767,139.89179654329212,136.20992707988822,136.4031982421875,16544300,-2.8314666748046875,142.359912109375,151.21331481933595,147.67299092610676,22.530496486076245,-2.5397929580379355,-0.4092123478171691,-2.1305806102207665,8907470.0,1.8573511895072339,True,False,False,False
