날짜,시가,고가,저가,종가,거래량,전일비,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2025-06-11 00:00:00-04:00,999.6389085950703,1002.6305257676506,990.6042271684619,993.9947509765625,2459800,-10.46063232421875,1004.3816162109375,1018.6900024414062,979.4329284667969,44.046370084113946,3.8639836929615967,9.289170394157379,-5.425186701195782,2173340.0,1.1318063441523185,False,False,False,False
2025-06-12 00:00:00-04:00,996.2085478678052,1000.4466723206964,992.5787043171172,999.908203125,1720100,5.9134521484375,1002.7661499023437,1019.2469451904296,981.1918100992839,46.38135609571509,2.4096845054375535,7.9132732164134145,-5.503588710975861,2148595.0,0.8005696746013092,False,False,False,False
2025-06-13 00:00:00-04:00,996.2883252567708,1000.7857328712023,985.9073794452864,987.443115234375,1786000,-12.465087890625,997.833984375,1018.2367767333984,982.6433492024739,42.36778704457012,0.248449532422228,6.380308479615177,-6.131858947192949,2114360.0,0.8447000510792864,False,False,False,False
2025-06-16 00:00:00-04:00,989.5571975006961,999.0505548389581,978.6976122914807,981.6094360351562,2109300,-5.83367919921875,993.482177734375,1016.1690734863281,984.1412373860677,40.59720790189304,-1.9130217874837854,4.721642426195385,-6.63466421367917,2118140.0,0.9958265270473151,False,False,False,False
2025-06-17 00:00:00-04:00,980.2532516459866,983.3445651232382,973.4722647230866,974.9879760742188,1668200,-6.6214599609375,987.5886962890625,1013.3459869384766,985.2987131754558,38.62417348883827,-4.112889037428204,2.9547361334706674,-7.0676251708988715,2107560.0,0.7915314391998329,False,False,False,False
2025-06-18 00:00:00-04:00,977.2616282644167,979.9042478295464,971.3482055114268,972.1759033203125,1509600,-2.81207275390625,983.2249267578125,1010.2586456298828,986.1307993570964,37.784312332405435,-6.013886116329559,1.1610116835106223,-7.174897799840181,2069480.0,0.7294586079594874,False,False,False,False
2025-06-20 00:00:00-04:00,981.2404546167485,985.8973883247049,971.1786829047896,977.55078125,3255700,5.3748779296875,978.7534423828125,1008.0144287109375,986.9824198404948,40.449691789600195,-7.0059717864187405,-0.4723850104752503,-6.5335867759434905,2160320.0,1.507045252555177,True,False,False,False
2025-06-23 00:00:00-04:00,980.4028030927889,1002.0620815667206,978.5180697222954,1001.6731567382812,2082900,24.12237548828125,981.5994506835938,1007.3338348388672,988.2445465087891,50.66497953860531,-5.779114688005507,-1.5337309459813016,-4.245383742024205,2181420.0,0.9548367577082818,False,False,False,False
2025-06-24 00:00:00-04:00,1003.0293903905894,1003.0293903905894,989.2978486669264,999.1203002929688,2385100,-2.5528564453125,985.1016235351562,1007.0057525634766,989.3147389729818,49.69344838901769,-4.95568967277211,-2.218122691339463,-2.7375669814326464,2229980.0,1.0695611619835155,False,False,False,False
2025-06-25 00:00:00-04:00,1000.1973535263559,1002.1718014075898,983.2448560089599,983.7833251953125,1827700,-15.33697509765625,986.860693359375,1005.4476196289063,990.280196126302,44.208723649774036,-5.477543418795221,-2.870006836830615,-2.6075365819646064,2227955.0,0.8203487054271742,False,False,False,False
