날짜,시가,고가,저가,종가,거래량,전일비,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2023-11-09 00:00:00-05:00,60.292933162410385,60.95422772898526,60.139589335842075,60.23542785644531,3118300,0.25876617431640625,,,,18.278412618640218,-0.20116368678709762,-0.07302268047263887,-0.12814100631445874,,,False,False,False,False
2023-11-10 00:00:00-05:00,60.45587091949271,61.26092337197,60.34086029256251,61.16508483886719,3636300,0.929656982421875,60.626458740234376,,,52.13104008466177,-0.16200649826613756,-0.09081944403133861,-0.07118705423479894,,,False,False,False,False
2023-11-13 00:00:00-05:00,60.848812969197674,61.37593219780606,60.71463390838329,61.078826904296875,2492900,-0.0862579345703125,60.58620681762695,,,50.058997215758424,-0.13636253624801498,-0.0999280624746739,-0.03643447377334108,,,False,False,False,False
2023-11-14 00:00:00-05:00,61.39509886518722,62.08514800369509,61.13633409425246,61.53886032104492,4617200,0.4600334167480469,60.79897232055664,,,59.34086695325944,-0.0780193015787205,-0.09554631029548322,0.017527008716762715,,,False,False,False,True
2023-11-15 00:00:00-05:00,61.52927121726278,61.73054163267102,60.75296963101481,60.83922576904297,3436500,-0.6996345520019531,60.97148513793945,,,45.4928421289972,-0.08723098452939126,-0.09388324514226483,0.0066522606128735645,,,False,False,False,False
2023-11-16 00:00:00-05:00,60.925479532400466,61.51010403891516,60.925479532400466,61.45260238647461,3166400,0.6133766174316406,61.21492004394531,,,55.334101377419735,-0.04452370129642702,-0.08401133637309727,0.03948763507667025,,,False,False,False,False
2023-11-17 00:00:00-05:00,61.70178446806015,62.04680902562337,61.4430197058933,61.797630310058594,3343800,0.3450279235839844,61.34142913818359,,,59.73769725894862,0.016967408545745855,-0.06381558738932865,0.0807829959350745,,,False,False,False,False
2023-11-20 00:00:00-05:00,61.32801025370887,61.9701400778227,61.13632954549555,61.6826171875,2472600,-0.11501312255859375,61.46218719482422,,,57.695711323706426,0.05577600723740517,-0.03989726846398189,0.09567327570138706,,,False,False,False,False
2023-11-21 00:00:00-05:00,61.78803491281771,62.58350848415124,61.78803491281771,62.267234802246094,2852800,0.5846176147460938,61.607862091064455,,,64.36384494858568,0.13218214348853508,-0.005481386073478496,0.13766352956201358,,,False,False,False,False
2023-11-22 00:00:00-05:00,62.238483978801995,62.54517161555576,61.903038206594104,62.267234802246094,1857800,0.0,61.893463897705075,,,64.36384494858567,0.1905381517367033,0.03372252148855786,0.15681563024814543,,,False,False,False,False
