날짜,종가,전일비,시가,고가,저가,거래량,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2025-01-08,44300,"상승
				1,400",43250,44600,42000,11169783,,,,,0.0,0.0,0.0,,,False,False,False,False
2025-01-09,44750,"상승
				450",43950,45300,43200,6867386,,,,100.0,35.897435897430114,7.179487179486023,28.71794871794409,,,False,False,False,False
2025-01-10,45000,"상승
				250",44750,45500,44100,4430941,,,,100.0,83.55613996639295,22.45481773686741,61.101322229525536,,,False,False,False,False
2025-01-13,45150,"상승
				150",45850,45900,43600,5213515,,,,100.0,131.90918571881048,44.34569133325603,87.56349438555445,,,False,False,False,False
2025-01-14,47950,"상승
				2,800",45350,49400,45350,12292999,45430.0,,,100.0,391.65121090126195,113.80679524685722,277.8444156544047,,,False,False,False,False
2025-01-15,51000,"상승
				3,050",48250,51300,48000,9766689,46770.0,,,100.0,833.9943792248159,257.84431204244896,576.1500671823669,,,False,False,False,False
2025-01-16,51500,"상승
				500",51100,51500,49700,5613836,48120.0,,,100.0,1210.941370028464,448.463723639652,762.477646388812,,,False,False,False,False
2025-01-17,50700,"하락
				800",50500,51700,49600,5016400,49260.0,,,88.07492324241078,1428.6526435067717,644.501507613076,784.1511358936957,,,False,False,False,False
2025-01-20,51800,"상승
				1,100",49950,52700,49150,5270575,50590.0,,,89.86465204594982,1670.6925000096526,849.7397060923913,820.9527939172613,,,False,False,False,False
2025-01-21,54700,"상승
				2,900",52100,55000,51600,7518296,51940.0,,,92.89298328923937,2072.6246667853047,1094.316698230974,978.3079685543307,,,False,False,False,False
2025-01-22,52900,"하락
				1,800",54700,57200,52500,8793440,52320.0,,,77.42881647608363,2220.3193881418847,1319.5172362131561,900.8021519287286,,,False,False,False,False
2025-01-23,51500,"하락
				1,400",53700,54600,51100,6810660,52320.0,,,67.95346294635344,2199.050928941011,1495.4239747587271,703.626954182284,,,False,False,False,False
2025-01-24,56700,"상승
				5,200",51900,57100,51400,10396751,53520.0,,,78.48503880188812,2572.14201157348,1710.7675821216778,861.3744294518021,,,False,False,False,False
