날짜,종가,전일비,시가,고가,저가,거래량,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2025-01-08,18900,"하락
				80",18690,18900,18370,3834048,,,,,0.0,0.0,0.0,,,False,False,False,False
2025-01-09,18830,"하락
				70",19060,19060,18350,4165547,,,,0.0,-5.584045584044361,-1.1168091168088723,-4.467236467235489,,,False,False,False,False
2025-01-10,20000,"상승
				1,170",19770,20550,19300,21673672,,,,94.73684210526315,83.43795910747576,15.794144528048056,67.64381457942771,,,False,False,False,True
2025-01-13,20100,"상승
				100",20300,20550,19820,7574561,,,,95.15898023488971,160.21089202410803,44.67749402726005,115.53339799684798,,,False,False,False,False
2025-01-14,20100,보합0,19940,20200,19830,3913984,19586.0,,,95.15898023488971,218.5348606394291,79.44896734969386,139.08589328973522,,,False,False,False,False
2025-01-15,20300,"상승
				200",20200,20600,19900,5122024,19866.0,,,95.91833526500595,277.6942678378764,119.09802744733037,158.59624039054603,,,False,False,False,False
2025-01-16,20800,"상승
				500",21000,21100,20600,6025092,20260.0,,,97.1302592391666,360.76566358779746,167.4315546754238,193.33410891237367,,,False,False,False,False
2025-01-17,21750,"상승
				950",21500,22000,21150,13756111,20610.0,,,98.2148269235804,497.52227662733276,233.4496990658056,264.07257756152717,,,False,False,False,False
2025-01-20,21900,"상승
				150",22100,22900,21600,16311734,20970.0,,,98.32262161491418,610.9638136055764,308.95252197375976,302.0112916318167,,,False,False,False,False
2025-01-21,22050,"상승
				150",22150,22350,21700,6325422,21360.0,,,98.4250385237427,704.8457720517144,388.1311719893507,316.71460006236373,,,False,False,False,False
2025-01-22,23950,"상승
				1,900",22550,24250,22500,31258484,22090.0,,,99.14072231384417,921.9345341157641,494.8918444146334,427.0426897011307,,,False,False,False,False
2025-01-23,23850,"하락
				100",24050,24100,23400,10160667,22700.0,,,96.65134778039176,1073.5347376233149,610.6204230563698,462.9143145669451,,,False,False,False,False
2025-01-24,24700,"상승
				850",24900,25150,24300,15520011,23290.0,,,97.27718326510512,1247.8820795437787,738.0727543538516,509.8093251899271,,,False,False,False,False
2025-01-31,23900,"하락
				800",23500,24100,23150,15303404,23690.0,,,81.78479260253832,1306.4404576348134,851.7462950100439,454.69416262476943,,,False,False,False,False
2025-02-03,23350,"하락
				550",23150,23800,23100,9026940,23950.0,,,73.15840323642429,1293.5566745706965,940.1083709221745,353.448303648522,,,False,False,False,False
2025-02-04,24400,"상승
				1,050",24000,24750,23650,9612429,24040.0,,,77.94181319563879,1352.4818396962946,1022.5830646769986,329.89877501929607,,,False,False,False,False
2025-02-05,23950,"하락
				450",24600,24600,23700,5969958,24060.0,,,72.01829169391394,1347.3379452539994,1087.5340407923989,259.8039044616005,,,False,False,False,False
2025-02-06,24000,"상승
				50",24500,24500,23850,5496725,23920.0,,,72.2704621879871,1331.9421539359173,1136.4156634211026,195.52649051481467,,,False,False,False,False
2025-02-07,23200,"하락
				800",23250,23650,22700,8864252,23780.0,,,62.556485596448155,1240.8834324880045,1157.309217234483,83.57421525352152,,,False,False,False,False
2025-02-10,23000,"하락
				200",23600,23800,22900,5482455,23710.0,22151.5,,60.3717704260497,1139.4455916671286,1153.7364921210121,-14.290900453883523,10269876.0,0.5338384806204086,False,False,False,False
2025-02-11,23550,"상승
				550",23050,23950,23050,5280321,23540.0,22384.0,,64.08627046345902,1090.8610087827728,1141.1613954533643,-50.30038667059148,10342189.65,0.5105612233672392,False,False,False,False
2025-02-12,24250,"상승
				700",23600,24350,23350,7299965,23600.0,22655.0,,68.1749646219335,1096.2051559955107,1132.1701475617938,-35.96499156628306,10498910.55,0.6953069049626296,False,False,False,False
2025-02-13,24550,"상승
				300",24500,24650,24050,6884176,23710.0,22882.5,,69.76373161175715,1111.8314234015525,1128.1024027297456,-16.270979328193107,9759435.75,0.7053866818068862,False,False,False,False
2025-02-14,27600,"상승
				3,050",24550,28250,24450,55550815,24590.0,23257.5,,80.44960647894627,1354.7086252336194,1173.4236472305204,181.284978003099,12158248.45,4.568981726969069,True,False,False,True
2025-02-17,28200,"상승
				600",26900,28700,26150,29333641,25630.0,23662.5,,81.81141749042658,1577.4220041592125,1254.223318616259,323.1986855429536,13429231.3,2.184312738734346,True,False,False,False
2025-02-18,30300,"상승
				2,100",29400,30550,29050,35485391,26980.0,24162.5,,85.59378660968702,1901.4575915891328,1383.6701732108338,517.787418378299,14947399.65,2.3740176773824335,True,False,False,False
2025-02-19,29850,"하락
				450",30900,30900,29500,17987673,28100.0,24615.0,,81.67430695027652,2097.765159044604,1526.489170377588,571.275988667016,15545528.7,1.1570962523777015,False,False,False,False
2025-02-20,28650,"하락
				1,200",29400,29800,28100,17575818,28920.0,24960.0,,72.1820631904201,2131.934732873884,1647.5782828768472,484.35644999703686,15736514.05,1.11688128286582,False,False,False,False
2025-02-21,28950,"상승
				300",28750,29450,28300,10117896,29190.0,25312.5,,73.0260820453152,2158.341837921056,1749.730993885689,408.6108440353671,15426822.15,0.6558639168598959,False,False,False,False
2025-02-24,28100,"하락
				850",28250,28750,27500,9711056,29170.0,25615.0,,66.83830033840647,2086.628409249508,1817.1104769584529,269.5179322910551,15596103.85,0.6226591008497292,False,False,False,False
2025-02-25,28250,"상승
				150",27700,28600,27400,8160438,28760.0,25830.0,,67.36384899954862,2018.6292453700953,1857.4142306407814,161.2150147293139,14441201.55,0.5650802650836211,False,False,False,False
2025-02-26,27600,"하락
				650",28000,28200,27200,7857812,28310.0,26017.5,,62.724867048700915,1890.4973734375635,1864.030859200138,26.4665142374256,14326058.8,0.548497818534711,False,False,False,False
2025-02-27,27050,"하락
				550",28000,28200,26900,6824895,27990.0,26135.0,,59.02115263259245,1724.6903812005366,1836.1627636002179,-111.47238239968124,13891303.0,0.49130704297501826,False,False,False,False
2025-02-28,25400,"하락
				1,650",26500,26900,25250,13565445,27280.0,26210.0,,49.56565243955257,1443.5060951891865,1757.6314299180117,-314.12533472882524,13804405.05,0.9826895799468011,False,False,False,False
2025-03-04,25500,"상승
				100",24750,25850,24700,9094716,26760.0,26317.5,,50.087551405362014,1214.7320124715807,1649.0515464287255,-434.3195339571448,13807793.85,0.6586653957033114,False,False,False,False
