날짜,종가,전일비,시가,고가,저가,거래량,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2025-01-08,12320,"하락
				10",12300,12520,12270,75474,,,,,0.0,0.0,0.0,,,False,False,False,False
2025-01-09,12320,보합0,12330,12430,12260,58174,,,,,0.0,0.0,0.0,,,False,False,False,False
2025-01-10,12180,"하락
				140",12330,12400,12160,37295,,,,0.0,-11.168091168090541,-2.2336182336181083,-8.934472934472433,,,False,False,False,False
2025-01-13,11960,"하락
				220",12180,12240,11960,42843,,,,0.0,-37.34060600157318,-9.255015787209123,-28.085590214364053,,,False,False,False,False
2025-01-14,11990,"상승
				30",11960,12120,11880,31940,12154.0,,,8.450704225352098,-55.02744120157877,-18.409500870083054,-36.61794033149572,,,False,False,False,False
2025-01-15,11740,"하락
				250",12120,12120,11740,74850,12038.0,,,4.80591497227357,-88.20057486310361,-32.36771566868717,-55.83285919441644,,,False,False,False,False
2025-01-16,11880,"상승
				140",11930,11940,11810,45015,11950.0,,,24.455560988453,-102.01769582454835,-46.29771169985941,-55.71998412468894,,,False,False,False,False
2025-01-17,12150,"상승
				270",11770,12190,11700,77191,11944.0,,,47.12407884051866,-90.14201913252145,-55.06657318639182,-35.07544594612963,,,False,False,False,False
2025-01-20,11890,"하락
				260",12150,12150,11850,43267,11930.0,,,35.940142492868404,-100.5511952953766,-64.16349760818878,-36.387697687187824,,,False,False,False,False
2025-01-21,11780,"하락
				110",11890,12000,11760,47426,11888.0,,,32.433076196691275,-116.33557895236845,-74.59791387702472,-41.73766507534373,,,False,False,False,False
2025-01-22,11720,"하락
				60",11780,11910,11700,45001,11884.0,,,30.674792063287214,-132.16282450753533,-86.11089600312685,-46.05192850440848,,,False,False,False,False
2025-01-23,11500,"하락
				220",11790,11790,11480,50406,11808.0,,,25.266069399777024,-160.60681661477247,-101.01008012545599,-59.596736489316484,,,False,False,False,False
2025-01-24,11470,"하락
				30",11500,11670,11410,30727,11672.0,,,24.628347092616323,-183.4548808969139,-117.49904027974758,-65.95584061716632,,,False,False,False,False
2025-01-31,11250,"하락
				220",11470,11470,11210,59587,11544.0,,,20.535030109425207,-216.81498959777127,-137.36223014335232,-79.45275945441895,,,False,False,False,False
2025-02-03,10950,"하락
				300",11010,11100,10830,89368,11378.0,,,16.50626324781736,-264.4126247383556,-162.77230906235297,-101.64031567600261,,,False,False,False,False
2025-02-04,11100,"상승
				150",10960,11120,10960,29260,11254.0,,,24.483846423654214,-286.7251579711392,-187.56287884411023,-99.16227912702897,,,False,False,False,False
2025-02-05,11250,"상승
				150",11100,11340,11100,39917,11204.0,,,31.52926964373232,-288.97315229344895,-207.84493353397798,-81.12821875947097,,,False,False,False,False
2025-02-06,11340,"상승
				90",11260,11430,11260,39216,11178.0,,,35.422282601519726,-280.261772890206,-222.32830140522358,-57.93347148498239,,,False,False,False,False
2025-02-07,11230,"하락
				110",11240,11340,11190,27840,11174.0,,,32.95596088661105,-279.0176805042993,-233.66617722503872,-45.351503279260555,,,False,False,False,False
2025-02-10,11430,"상승
				200",11240,11480,11050,53181,11270.0,11672.5,,40.99956016130276,-258.9088596264046,-238.7147137053119,-20.194145921092684,49898.9,1.065774997044023,False,False,False,False
2025-02-11,11420,"하락
				10",11430,11500,11320,38555,11334.0,11627.5,,40.73639551719697,-241.00127791721206,-239.17202654769196,-1.829251369520108,48052.95,0.8023440808524763,False,False,False,False
2025-02-12,11280,"하락
				140",11440,11500,11250,33531,11340.0,11575.5,,37.141996340639224,-235.39275916593942,-238.41617307134146,3.0234139054020375,46820.8,0.7161560673888527,False,False,False,True
2025-02-13,11340,"상승
				60",11310,11800,11280,73231,11340.0,11533.5,,39.601664807671376,-223.5297571908286,-235.4388898952389,11.909132704410297,48617.6,1.5062652208253802,True,False,False,False
2025-02-14,11890,"상승
				550",11740,12500,11730,330095,11472.0,11530.0,,56.43163577314493,-167.81339088906498,-221.91379009400413,54.10039920493915,62980.2,5.241250424736664,True,False,False,False
2025-02-17,11890,보합0,12030,12040,11870,83863,11564.0,11525.0,,56.431635773144926,-122.24856383339284,-201.9807448418819,79.73218100848905,65576.35,1.2788604428273302,False,True,False,False
2025-02-18,11750,"하락
				140",11880,11880,11710,46545,11630.0,11525.5,,52.142361588465455,-96.32457039851033,-180.8495099532076,84.52493955469726,64161.1,0.7254395576135696,False,False,False,False
2025-02-19,11760,"상승
				10",11830,11830,11690,58183,11726.0,11519.5,,52.420548853636696,-74.11831263159729,-159.50327048888553,85.38495785728824,64819.5,0.8976156866375088,False,False,False,False
