날짜,시가,고가,저가,종가,거래량,전일비,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,TR,ATR,골든크로스,데드크로스,MACD_골든크로스
2024-12-09 14:00:00,100.23151846162102,104.06550939342307,99.95268386260604,102.39249420166016,14141900,1.6431427001953125,101.15765075683593,100.38488082885742,,47.786838256896154,-2.0586052520436198,-2.6953268191934976,0.6367215671498778,16538625.0,0.8550831765034881,False,4.112825530817034,3.3872878556979154,False,False,False
2024-12-10 14:00:00,104.52359370751064,104.56342830620517,96.86556495554373,97.6921157836914,23548500,-4.70037841796875,100.81109619140625,99.85957374572754,,38.16979642012261,-2.1703792965689814,-2.5903373146685946,0.4199580180996132,16992065.0,1.3858527495039596,False,7.697863350661436,3.8183456196794685,False,False,False
2024-12-11 14:00:00,99.08630451885027,102.23316969618145,97.89129685015463,101.63565826416016,15248400,3.94354248046875,100.58404541015625,99.75799751281738,,47.68277079177217,-1.9186333011418384,-2.4559965119632436,0.5373632108214053,16661500.0,0.9151877081895388,False,4.541053912490042,4.000443432973931,False,False,False
2024-12-12 14:00:00,100.97840820463651,101.55599854757875,97.35354293144674,97.83154296875,19334900,-3.8041152954101562,100.06023254394532,99.67434692382812,,41.11174212506185,-2.0029938319807457,-2.3653959759667442,0.36240214398599857,16707435.0,1.1572632184413705,False,4.282115332713417,3.934290375218684,False,False,False
2024-12-13 14:00:00,100.3510192318439,102.77091618015703,99.25559428683255,102.0738296508789,23926000,4.242286682128906,100.32512817382812,99.83965682983398,,49.47390526254011,-1.70784609281597,-2.2338859993365894,0.5260399065206194,16980750.0,1.4090072582188655,False,4.93937321140703,4.140571856305035,False,False,False
2024-12-16 14:00:00,105.17089965998882,110.6679454862958,104.10534876622671,107.80988311767578,42741200,5.736053466796875,101.40860595703126,100.43317909240723,,58.13113558534045,-0.9995654383661474,-1.9870218871425012,0.9874564487763537,18191895.0,2.349463868387543,True,8.5941158354169,4.4869813897868385,False,False,False
2024-12-17 14:00:00,109.29368813718354,110.03060928292395,107.23229496096319,108.14846801757812,35811500,0.33858489990234375,103.4998764038086,100.98537368774414,,58.582252174224585,-0.4062440169290227,-1.6708663130998056,1.264622296170783,19270650.0,1.8583441658688213,True,2.79831432196076,4.37317040555721,False,False,False
2024-12-18 14:00:00,109.79160663444502,111.57416515048017,102.30287635482694,103.46800994873047,63024300,-4.680458068847656,103.86634674072266,101.2925910949707,,50.4845538246234,-0.31013136440711264,-1.3987193233612671,1.0885879589541545,21713850.0,2.9024931092367314,True,9.271288795653234,4.6683655851215216,False,False,False
2024-12-19 14:00:00,89.70547143288738,90.62164447668255,84.25821312618872,86.72789764404297,91396800,-16.7401123046875,101.64561767578125,100.7309356689453,,32.94444145552727,-1.5666887422706282,-1.4323132071431395,-0.13437553512748868,25759160.0,3.54812812219032,True,19.209796822541747,5.891117697335822,False,False,False
2024-12-20 14:00:00,85.05488452140867,89.87475704163379,83.19265690350011,89.74530029296875,49578400,3.0174026489257812,99.17991180419922,100.10156326293945,,37.18110270919591,-2.292612530799019,-1.6043730718743154,-0.6882394589247036,27292320.0,1.8165696430351101,True,6.682100138133677,6.18631386570092,False,True,False
2024-12-23 14:00:00,89.62580422422869,90.72122920076788,88.03245811311044,89.34696960449219,26041500,-0.3983306884765625,95.4873291015625,99.45824966430663,,36.8501066004449,-2.867005268689198,-1.856899511237292,-1.010105757451906,27991210.0,0.9303456335042323,False,2.688771087657443,6.013464079807,False,False,False
2024-12-24 14:00:00,89.20754628807987,89.32704248982182,87.86316083477163,88.9087905883789,13021300,-0.43817901611328125,91.63939361572265,98.7014087677002,,36.46553631908879,-3.319310095743944,-2.1493816281386224,-1.1699284676053217,27500380.0,0.4734952753380135,False,1.4838087697205538,5.862665352234015,False,False,False
2024-12-26 14:00:00,88.13203702711154,90.25317823395761,87.73369861705886,89.44654846191406,14468200,0.5377578735351562,88.83510131835938,98.10489883422852,,37.329940706139205,-3.592955014826842,-2.4380963054762663,-1.1548587093505756,27260005.0,0.5307482518803647,False,2.5194796168987494,5.783709248657603,False,False,False
2024-12-27 14:00:00,88.62996187196407,89.11792245604539,87.2158676745272,88.2614974975586,19422600,-1.1850509643554688,89.1418212890625,97.62838859558106,,36.16232774902498,-3.860937805967694,-2.7226646055745523,-1.138273200393142,27378815.0,0.7094025070113517,False,2.2306807873868593,5.789399108104206,False,False,False
2024-12-30 14:00:00,86.74087047285695,86.80070381423883,84.33777633735426,85.06568145751953,22022900,-3.1958160400390625,88.20589752197266,97.0045352935791,,33.150938720463444,-4.281833434061582,-3.034498371271958,-1.2473350627896238,27793490.0,0.7923762003260476,False,3.9237211602043374,5.775891653060442,False,False,False
2024-12-31 14:00:00,85.19530879049012,86.1525585107991,83.84916900149683,83.91897583007812,18691500,-1.1467056274414062,87.12029876708985,96.29347114562988,,32.117448486642004,-4.654274236220942,-3.358453544261755,-1.2958206919591873,27901785.0,0.6699033771495264,False,2.3033895093022636,5.3905720929633585,False,False,False
