날짜,시가,고가,저가,종가,거래량,전일비,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,TR,ATR,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2024-11-07 14:00:00,146.3480493601011,148.88731477688594,146.12811118371621,148.83734130859375,207323300,0.0,,,,,0.0,0.0,0.0,2.7592035931697296,,,,False,False,False,False
2024-11-08 14:00:00,148.7273495355645,149.72706281958904,146.21805942983792,147.58767700195312,175665800,-1.249664306640625,,,,0.0,-0.09968832075765022,-0.019937664151530046,-0.07975065660612017,3.509003389751115,,,,False,False,False,False
2024-11-11 14:00:00,148.63735542204353,148.80732009469307,143.52883547102425,145.2183380126953,182325600,-2.3693389892578125,,,,0.0,-0.3656627555854186,-0.08908268243830776,-0.27658007314711086,5.278484623668817,,,,False,False,False,False
2024-11-12 14:00:00,146.73790556674717,149.60707763368606,145.96812211424654,148.24746704101562,198634700,3.0291290283203125,,,,48.02998149326505,-0.32824026487980973,-0.13691419892660817,-0.19132606595320156,4.388739620990748,,,,False,False,False,False
2024-11-13 14:00:00,149.02728904721945,149.2872090486766,145.85818403502842,146.22808837890625,191903300,-2.019378662109375,147.22378234863282,,,35.71470514214697,-0.4562700555792105,-0.20078537025712864,-0.2554846853220819,3.429025013648186,,,,False,False,False,False
2024-11-14 14:00:00,147.59766330614426,148.9572739334313,145.50826627914395,146.71791076660156,194463300,0.4898223876953125,146.79989624023438,,,39.750166081156,-0.5123044868172428,-0.2630891935691515,-0.24921529324809133,3.4490076542873567,,,,False,False,False,False
2024-11-15 14:00:00,144.8284560077565,145.19836028928967,140.03983617411208,141.9392852783203,250132900,-4.77862548828125,145.67021789550782,,,23.952752630272926,-0.9315687726151509,-0.39678510937835143,-0.5347836632367995,6.67807459248948,,,,False,False,False,False
2024-11-18 14:00:00,139.45999475223928,141.50940991238423,137.1106625740026,140.10980224609375,221205300,-1.8294830322265625,144.6485107421875,,,20.580547163165335,-1.3953776854536386,-0.5965036245934089,-0.7988740608602297,4.8286227043177234,,,,False,False,False,False
2024-11-19 14:00:00,141.2794937524248,147.08782570288798,140.94958652618317,146.9678497314453,227834900,6.8580474853515625,144.39258728027343,,,49.361121775663165,-1.1957782857354573,-0.7163585568218186,-0.4794197289136387,6.978023456794233,,,,False,False,False,False
2024-11-20 14:00:00,147.36774356025674,147.5176944558783,142.68907730947365,145.84817504882812,309871700,-1.1196746826171875,144.3166046142578,,,46.40441711702413,-1.1150886647891696,-0.7961045784152888,-0.31898408637388076,4.828617146404667,,,,False,False,False,False
2024-11-21 14:00:00,149.30720000657334,152.84617867409492,140.65967008206871,146.62796020507812,400946600,0.77978515625,144.29861450195312,,,48.70869302546279,-0.9769576539789284,-0.8322751935280168,-0.1446824604509116,12.1865085920262,,,,False,False,False,False
2024-11-22 14:00:00,145.888140786496,147.11779901269117,141.05953942682146,141.90928649902344,236406200,-4.7186737060546875,144.29261474609376,,,38.04835391427722,-1.234020346801742,-0.9126242241827619,-0.3213961226189802,6.058259585869706,,,,False,False,False,False
2024-11-25 14:00:00,141.9492922301626,142.0092725854583,135.78106320516017,135.9810028076172,344941900,-5.92828369140625,143.46685485839845,,,29.35572610529411,-1.8942713510707847,-1.1089536495603665,-0.7853177015104182,6.228209380298125,,,,False,False,False,False
2024-11-26 14:00:00,137.66052777043362,139.26007526155422,135.63111085304342,136.88075256347656,190287700,0.899749755859375,141.44943542480468,,,31.89873474534508,-2.3181999767278683,-1.350802914993867,-0.9673970617340013,3.6289644085107966,5.302053125873349,,,False,False,False,False
2024-11-27 14:00:00,134.97128602051475,137.18065910710888,131.76221489663718,135.3011932373047,226370900,-1.579559326171875,139.3400390625,,,29.866148518258015,-2.749924288071469,-1.6306271896093874,-1.1192970984620816,5.418444210471705,5.4919988842520615,,,False,False,False,False
2024-11-29 14:00:00,136.74079305563075,139.31006372977,136.0110065692894,138.2103729248047,141863200,2.9091796875,137.65652160644532,,,37.73544161658781,-2.824760348519362,-1.8694538213913825,-0.9553065271279797,4.00887049246532,5.527703677303076,,,False,False,False,False
2024-12-02 14:00:00,138.79019534076207,140.40972595950504,137.78049042793322,138.5902557373047,171682800,0.3798828125,136.99271545410156,,,38.70263566298951,-2.8208975464654884,-2.0597425664062037,-0.7611549800592847,2.6292355315718225,5.338471599296148,,,False,False,False,False
2024-12-03 14:00:00,138.22037595856943,140.4997214017946,137.91046723010535,140.2198028564453,164414000,1.629547119140625,137.8404754638672,,,42.80674989879188,-2.6557317912329665,-2.1789404113715563,-0.4767913798614103,2.589254171689248,5.2099369243460405,,,False,False,False,False
2024-12-04 14:00:00,141.95930442882306,145.74821154635353,140.2497877832653,145.09840393066406,231224300,4.87860107421875,139.4840057373047,,,52.96101791611256,-2.1068875179224165,-2.1645298326817284,0.05764231475931192,5.528408689908218,5.359892901221757,,,False,False,False,True
2024-12-05 14:00:00,145.0784040292141,146.50808533514203,143.91865294893697,145.02841186523438,172621200,-0.0699920654296875,141.42944946289063,143.0774688720703,,52.816137837927215,-1.6584546193467702,-2.063314790014737,0.40486017066796665,2.589432386205061,5.298494667787308,222005980.0,0.7775520281030268,False,False,False,False
2024-12-06 14:00:00,144.56851457164973,145.66826585624298,141.27922253713282,142.4089813232422,188505600,-2.6194305419921875,142.26917114257813,142.75605087280275,,47.57121228909673,-1.4971759572102599,-1.9500870234538417,0.4529110662435818,4.389043319110158,5.134992433974499,221065095.0,0.8527153506527116,False,False,False,False
2024-12-09 14:00:00,138.93972344033872,139.91950565348523,137.1001279875636,138.77975463867188,189308600,-3.6292266845703125,142.30707092285155,142.31565475463867,,41.432149881074494,-1.6432671573572293,-1.8887230502345194,0.24545589287729008,5.308853335678577,5.169294621928846,221747235.0,0.853713463439578,False,False,False,False
2024-12-10 14:00:00,138.97971741196267,141.78911819403848,133.76085313448985,135.04058837890625,210020900,-3.739166259765625,141.27122802734374,141.80676727294923,,36.24267474974475,-2.037280452754459,-1.9184345307385073,-0.11884592201595146,8.02826505954863,5.244311879268445,223132000.0,0.9412406109388165,False,False,False,False
2024-12-11 14:00:00,137.33007570041752,140.1394610798945,135.18055019628483,139.27964782714844,184905200,4.2390594482421875,140.10747680664062,141.35837631225587,,44.69928181711277,-1.984604868345457,-1.9316685982598973,-0.05293627008555957,5.098872700988238,5.263615847452987,222445525.0,0.8312381199846569,False,False,False,False
